ID,Income_us,Gender,Age,Employment,Education,F1_importance,F2_importance,F3_importance,F4_importance,F5_importance,F1_functional,F1_dysfunctional,F2_functional,F2_dysfunctional,F3_functional,F3_dysfunctional,F4_dysfunctional,F4_functional,F5_functional,F5_dysfunctional
C1-1,15000_to_24999,female,24,self_employed,high_school_or_equivalent,3 - Somewhat important,9 - Extremely important,6,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-2,15000_to_24999,female,23,student_full_time,high_school_or_equivalent,5 - Important,9 - Extremely important,9 - Extremely important,7 - Very important,7 - Very important,I dislike it that way,I dislike it that way,I dislike it that way,I dislike it that way,I dislike it that way,I can live with it that way,I am neutral,I dislike it that way,I am neutral,I am neutral
C1-3,100000_to_149999,male,40,employed_full_time,university_undergraduate_degree,3 - Somewhat important,7 - Very important,6,9 - Extremely important,6,I am neutral,I can live with it that way,I must be that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I must be that way,I must be that way,I can live with it that way
C1-4,prefer_not_to_answer,male,24,other,other,6,7 - Very important,7 - Very important,4,3 - Somewhat important,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I can live with it that way
C1-5,15000_to_24999,female,28,employed_full_time,high_school_or_equivalent,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I dislike it that way,I must be that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I must be that way,I like it that way,I dislike it that way
C1-6,75000_to_99999,male,22,employed_full_time,university_undergraduate_degree,4,7 - Very important,8,9 - Extremely important,8,I am neutral,I can live with it that way,I like it that way,I dislike it that way,I must be that way,I dislike it that way,I dislike it that way,I must be that way,I like it that way,I dislike it that way
C1-7,50000_to_74999,female,28,employed_part_time,high_school_or_equivalent,2,1 - Not at all important,5 - Important,5 - Important,2,I am neutral,I must be that way,I am neutral,I am neutral,I like it that way,I dislike it that way,I must be that way,I like it that way,I am neutral,I must be that way
C1-8,75000_to_99999,female,55,employed_part_time,university_undergraduate_degree,5 - Important,5 - Important,5 - Important,7 - Very important,6,I am neutral,I am neutral,I must be that way,I dislike it that way,I must be that way,I dislike it that way,I dislike it that way,I must be that way,I must be that way,I dislike it that way
C1-9,150000_to_249999,male,50,employed_full_time,university_undergraduate_degree,3 - Somewhat important,7 - Very important,9 - Extremely important,9 - Extremely important,6,I am neutral,I am neutral,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I must be that way,I can live with it that way
C1-10,100000_to_149999,female,57,self_employed,college_diploma,2,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I dislike it that way,I like it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I must be that way,I like it that way,I dislike it that way
