ID,Income_us,Gender,Age,Employment,Education,F6_importance,F7_importance,F8_importance,F9_importance,F10_importance,F11_importance,F6_functional,F6_dysfunctional,F7_functional,F7_dysfunctional,F8_functional,F8_dysfunctional,F9_functional,F9_dysfunctional,F10_dysfunctional,F10_functional,F11_functional,F11_dysfunctional
ALL1-1,15000_to_24999,female,24,self_employed,high_school_or_equivalent,3 - Somewhat important,9 - Extremely important,6,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-2,15000_to_24999,female,23,student_full_time,high_school_or_equivalent,5 - Important,9 - Extremely important,9 - Extremely important,7 - Very important,7 - Very important,7 - Very important,I can tolerate it,I am neutral,I can tolerate it,I can tolerate it,I am neutral,I can tolerate it,I can tolerate it,I am neutral,I dislike it,I expect it,I expect it,I dislike it
ALL1-3,100000_to_149999,male,40,employed_full_time,university_undergraduate_degree,3 - Somewhat important,7 - Very important,6,7 - Very important,9 - Extremely important,6,I am neutral,I am neutral,I like it,I can tolerate it,I expect it,I can tolerate it,I expect it,I can tolerate it,I can tolerate it,I expect it,I expect it,I am neutral
ALL1-4,prefer_not_to_answer,male,24,other,other,6,7 - Very important,7 - Very important,5 - Important,4,3 - Somewhat important,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-5,15000_to_24999,female,28,employed_full_time,high_school_or_equivalent,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I dislike it,I expect it,I expect it,I can tolerate it,I expect it,I dislike it,I expect it,I dislike it,I dislike it,I expect it,I like it,I dislike it
ALL1-6,75000_to_99999,male,22,employed_full_time,university_undergraduate_degree,4,7 - Very important,8,7 - Very important,9 - Extremely important,8,I like it,I can tolerate it,I expect it,I dislike it,I like it,I can tolerate it,I like it,I can tolerate it,I dislike it,I expect it,I like it,I can tolerate it
ALL1-7,50000_to_74999,female,28,employed_part_time,high_school_or_equivalent,2,1 - Not at all important,5 - Important,3 - Somewhat important,5 - Important,2,I dislike it,I am neutral,I am neutral,I am neutral,I dislike it,I expect it,I like it,I can tolerate it,I expect it,I am neutral,I am neutral,I can tolerate it
ALL1-8,75000_to_99999,female,55,employed_part_time,university_undergraduate_degree,5 - Important,5 - Important,5 - Important,5 - Important,7 - Very important,6,I am neutral,I am neutral,I expect it,I dislike it,I expect it,I dislike it,I expect it,I can tolerate it,I dislike it,I expect it,I expect it,I dislike it
ALL1-9,150000_to_249999,male,50,employed_full_time,university_undergraduate_degree,3 - Somewhat important,7 - Very important,9 - Extremely important,7 - Very important,9 - Extremely important,6,I expect it,I expect it,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I expect it,I dislike it
ALL1-10,100000_to_149999,female,57,self_employed,college_diploma,2,9 - Extremely important,9 - Extremely important,7 - Very important,9 - Extremely important,9 - Extremely important,I dislike it,I expect it,I expect it,I dislike it,I expect it,I dislike it,I like it,I can tolerate it,I dislike it,I expect it,I expect it,I dislike it
ALL1-11,35000_to_49999,male,19,student_full_time,high_school_or_equivalent,9 - Extremely important,9 - Extremely important,8,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I am neutral,I am neutral,I can tolerate it,I like it,I dislike it,I dislike it,I can tolerate it,I dislike it,I like it,I like it,I can tolerate it
